ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
50917;M;24;165;58;FIN;1960;Cross Country Skiing;Gold
50917;M;28;165;58;FIN;1964;Cross Country Skiing;Silver
50951;M;37;178;92;USA;2002;Ice Hockey;Silver
51010;F;24;170;77;CAN;2010;Bobsleigh;Gold
51010;F;28;170;77;CAN;2014;Bobsleigh;Gold
51113;F;30;162;63;FIN;1998;Ice Hockey;Bronze
51117;M;32;172;67;SVK;2010;Biathlon;Bronze
51132;M;30;178;81;CAN;1960;Ice Hockey;Silver
51140;M;34;176;72;SUI;1998;Curling;Gold
51156;M;32;178;79;CAN;1956;Ice Hockey;Bronze
51317;F;37;160;56;FIN;1960;Speed Skating;Bronze
51387;F;19;157;55;PRK;1992;Short Track Speed Skating;Bronze
51448;M;25;185;77;CAN;1992;Ice Hockey;Silver
51463;M;23;176;60;FIN;1956;Ski Jumping;Gold
51468;F;23;172;61.5;FIN;1984;Cross Country Skiing;Bronze
51648;F;28;157;54;AUS;2010;Freestyle Skiing;Gold
51648;F;32;157;54;AUS;2014;Freestyle Skiing;Bronze
51667;M;24;166;68;JPN;1956;Alpine Skiing;Silver
51674;M;24;185;95;CAN;2002;Ice Hockey;Gold
51674;M;32;185;95;CAN;2010;Ice Hockey;Gold
51728;F;30;165;66;FIN;1998;Ice Hockey;Bronze
51799;M;24;181;68;FIN;1972;Biathlon;Silver
51799;M;28;181;68;FIN;1976;Biathlon;Silver
51799;M;28;181;68;FIN;1976;Biathlon;Silver
51800;M;23;172;70;USA;1956;Ice Hockey;Silver
51802;F;29;165;63;FIN;1998;Ice Hockey;Bronze
51929;F;22;157;60;RUS;2010;Snowboarding;Silver
52033;M;20;175;73;USA;1976;Speed Skating;Bronze
52037;M;27;183;95;FIN;2010;Ice Hockey;Bronze
52037;M;31;183;95;FIN;2014;Ice Hockey;Bronze
52119;M;28;178;61;NOR;2006;Ski Jumping;Bronze
52124;F;28;174;68;SWE;2014;Cross Country Skiing;Gold
52124;F;28;174;68;SWE;2014;Cross Country Skiing;Bronze
52165;M;17;173;61;AUT;1976;Ski Jumping;Silver
52165;M;21;173;61;AUT;1980;Ski Jumping;Gold
52167;M;29;186;90;ITA;2014;Alpine Skiing;Silver
52167;M;29;186;90;ITA;2014;Alpine Skiing;Bronze
52195;M;20;181;78;JPN;1992;Speed Skating;Bronze
52216;F;25;165;59;USA;2006;Ice Hockey;Bronze
52335;F;30;164;52;AUT;2014;Ski Jumping;Silver
52384;M;23;170;70;USA;1972;Ice Hockey;Silver
52392;F;21;170;78;CAN;2010;Ice Hockey;Gold
52392;F;25;170;78;CAN;2014;Ice Hockey;Gold
52408;F;28;173;64;ITA;2006;Bobsleigh;Bronze
52422;F;25;170;56;EUN;1992;Short Track Speed Skating;Bronze
52497;M;27;166;62;JPN;1992;Short Track Speed Skating;Bronze
52545;F;29;165;57;RUS;2002;Biathlon;Bronze
52545;F;33;165;57;RUS;2006;Biathlon;Gold
52545;F;33;165;57;RUS;2006;Biathlon;Gold
52617;M;23;175;64;FIN;1992;Cross Country Skiing;Bronze
52617;M;25;175;64;FIN;1994;Cross Country Skiing;Bronze
52617;M;29;175;64;FIN;1998;Cross Country Skiing;Bronze
52643;M;30;174;70;NOR;1968;Biathlon;Silver
52668;M;28;172;57;JPN;2014;Ski Jumping;Bronze
52683;F;22;145;44;JPN;1992;Figure Skating;Silver
52790;M;25;176;83;URS;1964;Ice Hockey;Gold
52825;M;24;180;74;RUS;2002;Cross Country Skiing;Gold
52861;F;21;159;48;URS;1984;Figure Skating;Bronze
52871;F;22;173;70;RUS;2014;Luge;Silver
